,ID,RAdeg,DECdeg
8181,374111786289003904,13.330795,40.034105
8202,374216862664475904,13.254841,40.75267
8309,375183333386028800,13.32059,42.189338
8319,375211061695211008,11.863452,41.202907
8330,375121073539574912,13.684488,41.797685
8332,375124646952859648,13.399402,41.878177
8339,375145194075690752,13.209378,41.685547
8340,375145640752961536,13.234788,41.746953
8349,375162820621430528,12.997258,41.89557
8353,375168696137481728,12.738015,42.084743
8369,375023075270246272,12.296794,41.122414
8390,374660103288605056,14.896027,41.525051
8391,374660103290275840,14.897335,41.526414
8426,374776823320891008,14.46637,42.328402
8432,374629896783498880,15.83115,42.275245
